video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Z6pMB3ROYMA&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@FloraandNote,Flora and Note,Why Everyone Is Obsessed With HO CHI MINH CITY Right Now 🇻🇳,70K,2 days,Head to https://squarespace.com/floraandnote to save 10% off your first purchase of a website or domain using code ...,2026-01-20 04:21:31.571589
/watch?v=Mvsa17OMq-I&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@IslandHopperTV,Island Hopper TV,Best Things To Do in Ho Chi Minh City Vietnam 4K,786K,2 years,"HO CHI MINH CITY, VIETNAM: In this Ho Chi Minh City travel guide. We show you all around Saigon showing you the best things ...",2026-01-20 04:21:31.573454
/watch?v=zyxPjNOnNSc&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@ThePassportCouple,The Passport Couple,Ho Chi Minh City Travel Guide 2025 🇻🇳,19K,4 months,Download your Airalo Vietnam eSIM ➡️ https://try.airalo.com/ThePassportCouple + $3 off eSIM with code: “PASSPORT” Grab ...,2026-01-20 04:21:31.575106
/watch?v=a1OTry8L1NI&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@tuakahandanna,Tuakah and Anna,"The TRUTH About Ho Chi Minh City 🇻🇳 | Food, Cost, Culture & Culture Shock",850,4 hours,"Ho Chi Minh City completely surprised us In this video, we sit down and honestly share our experience visiting Ho Chi Minh ...",2026-01-20 04:21:31.576865
/watch?v=fRXbG5fulJI&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@realcoolvision,CoolVision,Is Saigon Vietnam’s Best City? I Didn’t Expect This,483K,7 months,"Let's visit Saigon aka Ho Chi Minh City aka HCMC, Vietnam's largest city. Is this city really underrated? I think so! From the ...",2026-01-20 04:21:31.578984
/watch?v=35Z4GGvCmlU&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@Expedia,Expedia,Ho Chi Minh City Vacation Travel Guide | Expedia,1.3M,10 years,Ho Chi Minh City – Visit the southern tip of Vietnam for one of South East Asia's emerging boom cities. Check out the best things to ...,2026-01-20 04:21:31.580610
/watch?v=D7F6pTXmvWw&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@IslandHopperTV,Island Hopper TV,Best Things To Do in Ho Chi Minh City Vietnam 2026 4K,26K,1 month,In this best things to do in Ho Chi Minh City Vietnam travel video we show you all around this mega city in the south. In this Ho Chi ...,2026-01-20 04:21:31.582269
/watch?v=QzegCBrJ83o&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@CNBCi,CNBC International,Discovering hidden gems of Ho Chi Minh City's food scene,58K,11 months,"American chef and content creator Chad Kubanoff moved to Vietnam a decade ago, with the intention of leaving within a year.",2026-01-20 04:21:31.583727
/watch?v=MgmxV1NqqEs&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@laistahir,Lais,4 Days in Ho Chi Minh City (Saigon) Vietnam 2026,80K,1 month,vietnam #saigon #hochiminhcity #travel Get an exclusive 15% discount on Saily data plans! Use code LAIS at checkout.,2026-01-20 04:21:31.585497
/watch?v=150-Q18Ji5Y&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@losterahYT,losterah,I Was Wrong About Ho Chi Minh City (Saigon Completely Surprised Me),16K,2 weeks,"When I first arrived in Ho Chi Minh City, I thought I'd made a mistake. The BEST Cafes In Saigon - https://youtu.be/5oVVCjY792U I ...",2026-01-20 04:21:31.587358
/watch?v=Uso81c6_glw&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@ExoticVacation,Exotic Vacation,How to Spend 2 Days in HO CHI MINH CITY Vietnam | The Perfect Travel Itinerary,243K,2 years,Prepare to immerse yourself in the vibrant energy of Ho Chi Minh City! Join us as we unveil the ultimate guide on how to make the ...,2026-01-20 04:21:31.589325
/watch?v=sXcY3tnttck&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@CreativeTravelGuide,Creative Travel Guide,THINGS TO KNOW BEFORE YOU GO TO HO CHI MINH CITY,132K,3 years,Today we share the things to know before you go to Ho Chi Minh City perfect for those planning a trip to Ho Chi Minh City.,2026-01-20 04:21:31.590901
/watch?v=PL52DrcI5dY&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@RenzoMaano,Renzo Maano,Complete 3 Day Travel Guide to Saigon Vietnam,78K,1 year,Join me and @ReanneMendoza as we explore the beautiful city of Ho Chi Minh! This place is much more than just the Cafe ...,2026-01-20 04:21:31.596159
/watch?v=N0crXGYLYlg&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@MarkWiens,Mark Wiens,23 Things To Do In Saigon (Ho Chi Minh City) Vietnam,2.3M,10 years,"Read 23 Things to do in Saigon (Ho Chi Minh City), Vietnam: ...",2026-01-20 04:21:31.603543
/watch?v=U9j10hMsHWU&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@PuriandSue,Puri and Sue,Ho Chi Minh City - 18 Things to do | 4D3N Itinerary | What to do in Saigon,135K,6 months,"Ho Chi Minh City, Vietnam's largest city, or still commonly referred to by its former name, Saigon. It's truly one of the most vibrant ...",2026-01-20 04:21:31.608195
/watch?v=Uee0pMaiMDo&pp=ygUQaG8gY2hpIG1pbmggY2l0edIHCQlPCgGHKiGM7w%3D%3D,/@FindingGinaMarie,Finding Gina Marie – Travel the World,Do NOT make these mistakes in HO CHI MINH CITY | Vietnam Travel Guide,190K,2 years,Ep.82 We knew very little about Vietnam before we spent a month there and we made a couple of big mistakes. Before visiting ...,2026-01-20 04:21:31.610498
/watch?v=jNIJiHRGh2g&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@WhatThePho,What The Pho ,20 things to do in Ho Chi Minh City,182K,1 year,Get an exclusive 15% discount on Saily data plans! Use code PHO at checkout. Download Saily app or go to https://saily.com/pho ...,2026-01-20 04:21:31.612198
/watch?v=AAZxbWr5tq4&pp=ygUQaG8gY2hpIG1pbmggY2l0eQ%3D%3D,/@opentiera,Opentiera,Top 10 things To Do In Ho Chi Minh City | 2025 Travel Guide,109K,1 year,"Top 10 things To Do In Ho Chi Minh City | 2024 Travel Guide The top 10 attractions in Ho Chi Minh City, Vietnam, showcasing its ...",2026-01-20 04:21:31.613384
