video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/h9RhgplZG48,/@uyenninh,Uyen Ninh,Vietnamese life hacks you need to know,21M,10 months,"I'm from Vietnam and here are my Vietnamese life hacks you need to know #shorts #lifehacks #vietnam #uyen Hi, I'm Uyen Ninh ...",2026-01-20 03:12:04.950477
/watch?v=DV-Iqmyh2Q8&pp=ygUHdmlldG5hbdIHCQlPCgGHKiGM7w%3D%3D,/@TravisTravelsVN,Travis Travels Vietnam,Travel Tips and Big Changes - Vietnam 2026,12K,13 hours,Traveling to Vietnam? Join my travel group here⬇️ https://travelvietnam.bio/News2026 ✓Local Recommendations  ☕     ...,2026-01-20 03:12:04.952248
/watch?v=lypRP821MqM&pp=ygUHdmlldG5hbQ%3D%3D,/@AFCAsianCup,AFC Asian Cup,VIETNAM fight their way into the semi-finals! | Vietnam - UAE | Highlights | AFC U23 Asian Cup™,1.2M,3 days,Enjoy the highlights of the quarter-final between Vietnam U23 and United Arab Emirates U23 from the AFC U23 Asian Cup™ ...,2026-01-20 03:12:04.953899
/watch?v=H7Hpff8ml3E&pp=ygUHdmlldG5hbdIHCQlPCgGHKiGM7w%3D%3D,/@VietnamVixens,VietnamVixens,Thousands of Retirees Are FLEEING Vietnam Right Now 🇻🇳,35K,3 weeks,"If you enjoy our content, please subscribe so that we can hit 1000 subscribers as soon as possible and continue doing these ...",2026-01-20 03:12:04.955124
/watch?v=hSDAj550YQw&pp=ygUHdmlldG5hbdIHCQlPCgGHKiGM7w%3D%3D,/@realtimehistory,Real Time History,The Vietnam War 1955-1975 (Full Documentary),3.3M,1 year,Get Nebula with 40% off annual subscription with my link: https://go.nebula.tv/realtimehistory Watch 16 Days in Berlin: ...,2026-01-20 03:12:04.957284
/watch?v=Fy-unALWMg0&pp=ygUHdmlldG5hbQ%3D%3D,/@americanslivingabroad,Americans Living Abroad,College Dropout to $550 Beachfront Apartment in Vietnam (8 Years Living Abroad),20K,1 day,"Julia, 28, lives in a $550/month beachfront apartment in Da Nang, Vietnam with a total monthly budget of $1100. She dropped out ...",2026-01-20 03:12:04.958968
/watch?v=ppfusm6vat0&pp=ygUHdmlldG5hbdIHCQlPCgGHKiGM7w%3D%3D,/@SuitcaseMonkey,Suitcase Monkey,"10 Days in VIETNAM: Hanoi, Ha Long Bay, Hoi An, Ho Chi Minh, Hue | Full Travel Vlog & Guide",4.8M,4 years,"We visit Hanoi, Ha Long Bay, Hoi An, Hue and Ho Chi Minh City. Things to do in Vietnam, must eat food, full guide and vlog to ...",2026-01-20 03:12:04.960973
/watch?v=VQiSm-oidmU&pp=ygUHdmlldG5hbQ%3D%3D,/@camdendavid,Camden David,21 Tips I Wish I Knew Before Visiting Vietnam,250K,1 year,"Every Tuesday, I share a travel tip you'll actually use — like advice from a friend who travels nonstop ...",2026-01-20 03:12:04.962162
/shorts/qWKpen9Mk3g,/@uyenninh,Uyen Ninh,Making a good Vietnamese spring roll,4.4M,1 year,"Hi, I'm Uyen Ninh but please just call me Uyen! Originally from Vietnam, I now explore life in Germany, sharing my unique ...",2026-01-20 03:12:04.963870
/shorts/TqQBFf-d1lU,/@MapandMyth,Map & Myth,Why the U.S. Lost the Vietnam War – Full Breakdown,338K,8 months,vietnamwar #usarmy #usashorts #war #vietnam #history #geopolitics #mapanimation #map #worldwar #worldconflict ...,2026-01-20 03:12:04.965136
