video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=YWpOajANenM&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@GLOBALDOCUMENTARY4k,GLOBAL DOCUMENTARY - National Discovery,VIETNAM: 4000 Years Of Culture And Growth | Full Documentary,118K,3 weeks,"Discover Vietnam – 4000 years of culture and growth, a land where history is carved into mountains, whispered through rivers, ...",2026-01-20 03:18:28.364925
/watch?v=wW-3PwDQ_vE&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@opentiera,Opentiera,"Vietnam Explained in 19 Minutes | History, Geography, Culture",19K,7 months,From Empire to Economic Boom: Why the World's Watching Vietnam Dive into Vietnam's incredible journey—from its ancient ...,2026-01-20 03:18:28.366317
/watch?v=2Q18LaHAkNo&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@WhatThePho,What The Pho ,"Q&A: Vietnamese Culture 101 (Tipping in Vietnam, Drinking Culture, Why no shoes in the house?)",137K,4 years,"In today's video, I will answer your questions about Vietnamese culture. You will learn a lot about Vietnamese tipping culture, ...",2026-01-20 03:18:28.367935
/watch?v=A2ffdGmf1FM&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@LearnEnglishbyPocketPassport,Learn English by Pocket Passport,Vietnam Culture | Fun Facts About Vietnam,26K,1 year,Join this channel to get access to perks: https://www.youtube.com/channel/UCHDEFZ9r_8-JCLr5xqwNy1w/join A fun and effective ...,2026-01-20 03:18:28.369583
/watch?v=wk4lP5t-Sw0&t=42s&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@EpicExplorationsTVEN,EpicExplorationsTV EN,Wonders of Vietnam | Where Time Flows Differently | Most Amazing Places in Vietnam | 4K,1.8M,1 year,Discover the most beautiful places in Vietnam in this comprehensive documentary that will guide you through the hidden wonders ...,2026-01-20 03:18:28.372924
/watch?v=VQiSm-oidmU&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@camdendavid,Camden David,21 Tips I Wish I Knew Before Visiting Vietnam,250K,1 year,"Every Tuesday, I share a travel tip you'll actually use — like advice from a friend who travels nonstop ...",2026-01-20 03:18:28.374139
/watch?v=Q2lePRaFv_A&pp=ygUPdmlldG5hbSBjdWx0dXJl0gcJCU8KAYcqIYzv,/@opentiera,Opentiera,"Vietnam Explained in 10 Minutes (History, Food, and Culture)",6.4K,1 year,"Vietnam: History, Food, and Culture Welcome to our Vietnam explainer video! Journey through the rich history, vibrant culture, and ...",2026-01-20 03:18:28.377061
/watch?v=1vONUVO_fQQ&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@8KEarthWonders-z5d,8K Earth Wonders,Wonders of Vietnam - Discover Vietnam’s Most Stunning Landscapes - Travel Video 4K,1.2M,10 months,Wonders of Vietnam - Discover Vietnam's Most Stunning Landscapes - Travel Video 4K Vietnam is a captivating destination in ...,2026-01-20 03:18:28.380639
/watch?v=u8R9MtM42P8&t=407s&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@EpimetheusHistory,Epimetheus,History of Vietnam explained in 8 minutes (All Vietnamese dynasties),2.7M,7 years,"History of Vietnam explained in 8 minutes All Vietnamese dynasties explained, Vietnam war and French Indochina. Support new ...",2026-01-20 03:18:28.382682
/watch?v=M3ic2OZf-sI&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@customasiatravel,Custom Asia Travel,"Inside Vietnamese Culture: 4,000 Years of Tradition and Identity",2.9K,7 months,"Vietnam is a land of over 4000 years of history and 54 ethnic groups. In this video, discover the heart of Vietnamese culture ...",2026-01-20 03:18:28.384399
/watch?v=kn1VrzMjst8&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@GeographyNow,Geography Now,Geography Now! VIETNAM,686K,1 year,The land of water. Welcome to #Vietnam.Check out the Regions video here: https://youtu.be/nEU-8AeBBbE Want to possibly ...,2026-01-20 03:18:28.386220
/watch?v=81aLMRK1ris&t=2460s&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@BestEverFoodReviewShow,Best Ever Food Review Show,TRIBAL VIETNAM!! The Food and Lifestyle of Vietnam’s UNKNOWN Mountain People!!,8.6M,4 years,SECOND CHANNEL!!! MORE BEFRS » http://bit.ly/2pQYjvM​ MICRO INFLUENCER MERCH » https://bit.ly/ShopBEFRS ...,2026-01-20 03:18:28.389977
/watch?v=OPGX05FW_58&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@WhatThePho,What The Pho ,10 Things You Should NOT Do in Vietnam,1.3M,4 years,Learning about Vietnamese cultures can help you mitigate misunderstandings in communications and understand more of why ...,2026-01-20 03:18:28.391318
/watch?v=wO5hfqSUocE&pp=ygUPdmlldG5hbSBjdWx0dXJl0gcJCU8KAYcqIYzv,/@touropia,touropia,12 Best Places to Visit in Vietnam - Travel Video,2.3M,2 years,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-vietnam/ A long, narrow country ...",2026-01-20 03:18:28.392694
/watch?v=i--ysQF3EuQ&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@Travel-Guide,World Travel Guides,Local People & culture in Vietnam,21K,3 years,"Local People & culture in Vietnam, Lifestyle in Vietnam, Vietnam travel guide, Vietnam travel vlog, Traditional Vietnam food, ...",2026-01-20 03:18:28.394004
/watch?v=gK-NrHxS-5A&t=160s&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@uyenninh,Uyen Ninh,Debunking Stereotypes about Vietnam,285K,1 year,"... 15:56 Vietnamese culture 19:26 Outro --- Hi, I'm Uyen Ninh but please just call me Uyen! Originally from Vietnam, I now explore ...",2026-01-20 03:18:28.397694
/watch?v=YwzKgCEAnDo&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@QuangVietTravelExplore,Quang Viet Travel & Explore,Vietnamese Traditional Market in Huổi Cuổi – Sơn La | Ethnic Colors in the Highlands,684K,9 months,"Welcome to Huổi Cuổi, a traditional Vietnamese market nestled in the stunning mountains of Sơn La province! In this video, we ...",2026-01-20 03:18:28.398873
/watch?v=aHPFqzKH4f8&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@QuangVietTravelExplore,Quang Viet Travel & Explore,"""A Day at Vĩnh Yên Market: Traditional Vietnamese Culture & Cuisine""",362K,1 year,"Join us as we journey to Vĩnh Yên Market, a lively and authentic local market in Bảo Yên, Vietnam. This bustling market takes ...",2026-01-20 03:18:28.399963
/watch?v=vOkkWuEwUmc&t=2484s&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@laistahir,Lais,10 Days in Vietnam 2026 - A Travel Documentary,1.4M,1 year,"vietnam #vietnamtravel #travel Discover Vietnam in this ultimate 10-day travel documentary, perfect for first-time visitors! Explore ...",2026-01-20 03:18:28.404011
/watch?v=w68Tf-uT4pg&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@duongglobalbusinessconsulting,Duong Global Business Consulting Group,"9 WEIRD Rules OK in Vietnamese Culture, Totally WRONG in America!!! (NO JOKE!)",115K,7 months,"9 WEIRD Rules OK in Vietnamese Culture, Totally WRONG in America. What's totally normal for Vietnamese people might seem ...",2026-01-20 03:18:28.405966
/shorts/7KIfRhJH0Us,/@uyenninh,Uyen Ninh,Nap culture in Vietnam,5.1M,3 years,"Hi, I'm Uyen Ninh but please just call me Uyen! Originally from Vietnam, I now explore life in Germany, sharing my unique ...",2026-01-20 03:18:36.220102
/watch?v=2_QoFhDY-80&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@vietnamtodayinternational,Vietnam Today,Vietnam's Cultural Highlight of the day | Vietnam Today,397,10 hours,vietnamtoday #YourWindowonVietnam #vtv Vietnam's Cultural Highlight of the day | 19 January 2026 1. Tet programme attracts ...,2026-01-20 03:18:36.221354
/shorts/N1XKeII-jV8,/@chris.tran.travels,Chris Tran,Northern vs Southern Vietnamese cultures #history #vietnam,3K,7 months,Why do northern and southern Vietnamese people feel culturally different when I studied in Hanoi my history professor proposed ...,2026-01-20 03:18:36.222544
/shorts/eVB4QCR0cQQ,/@world_genetics,World Genetics,They Are The Closest To Vietnamese People,121K,1 year,Order your DNA report now: https://www.world-genetics.com.,2026-01-20 03:18:36.225839
/watch?v=rNjUSa3X2h8&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@zglobegazette,GlobeGazette,"North vs  South Vietnam Culture, Food, Language & Lifestyle Compared!",1.6K,9 months,"North vs. South Vietnam Culture, Food, Language & Lifestyle Compared! Hanoi vs. Ho Chi Minh City – What Makes North ...",2026-01-20 03:18:36.227181
/shorts/IidgjEMIYFw,/@uyenninh,Uyen Ninh,Houses in Vietnam,23M,9 months,Become a channel member and receive exclusive perks: https://www.youtube.com/channel/UC-uNVV92llYIMC5-ZUF0Q4w/join Hi ...,2026-01-20 03:18:36.228535
/watch?v=uMo3stLfxgk&pp=ygUPdmlldG5hbSBjdWx0dXJl,/@WhatThePho,What The Pho ,10 VIETNAMESE TABLE MANNERS AND TRADITIONS (VIETNAMESE DINING ETIQUETTE) | WHAT THE PHO,108K,4 years,"If you want to learn more about Vietnamese dining etiquette, Vietnamese culture and food. Don't forget to subscribe to my channel ...",2026-01-20 03:18:36.229781
/shorts/LfvsrcB6a6o,/@uyenninh,Uyen Ninh,Living with a Vietnamese,4.3M,1 year,"Hi, I'm Uyen Ninh but please just call me Uyen! Originally from Vietnam, I now explore life in Germany, sharing my unique ...",2026-01-20 03:18:36.232945
/watch?v=Fyt6aRmL4b4&pp=ygUPdmlldG5hbSBjdWx0dXJl0gcJCU8KAYcqIYzv,/@WhatThePho,What The Pho ,Basic Vietnamese Words & Phrases You Need to Know,456K,1 year,Check out LTL language school in Ho Chi Minh city here: 1-on-1 Classes in Saigon ...,2026-01-20 03:18:36.234089
/shorts/9iwhhw1InwY,/@uyenninh,Uyen Ninh,Food culture differences between Vietnam and Germany,7.8M,3 years,"Hi, I'm Uyen Ninh but please just call me Uyen! Originally from Vietnam, I now explore life in Germany, sharing my unique ...",2026-01-20 03:18:36.235318
