video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=DV-Iqmyh2Q8&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@TravisTravelsVN,Travis Travels Vietnam,Travel Tips and Big Changes - Vietnam 2026,12K,13 hours,Traveling to Vietnam? Join my travel group here⬇️ https://travelvietnam.bio/News2026 ✓Local Recommendations  ☕     ...,2026-01-20 03:15:11.430865
/watch?v=ppfusm6vat0&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@SuitcaseMonkey,Suitcase Monkey,"10 Days in VIETNAM: Hanoi, Ha Long Bay, Hoi An, Ho Chi Minh, Hue | Full Travel Vlog & Guide",4.8M,4 years,"We visit Hanoi, Ha Long Bay, Hoi An, Hue and Ho Chi Minh City. Things to do in Vietnam, must eat food, full guide and vlog to ...",2026-01-20 03:15:11.434790
/watch?v=Hfe4SFTM7K8&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@laistahir,Lais,ULTIMATE Vietnam Travel Guide 2026 - 14 Days in Vietnam,309K,1 year,vietnam #travel #14DaysinVietnam Planning a trip to Vietnam in 2024? In this 2 weeks travel guide I will show you how to spend ...,2026-01-20 03:15:11.436557
/watch?v=VQiSm-oidmU&pp=ygUOdmlldG5hbSB0cmF2ZWzSBwkJTwoBhyohjO8%3D,/@camdendavid,Camden David,21 Tips I Wish I Knew Before Visiting Vietnam,250K,1 year,"Every Tuesday, I share a travel tip you'll actually use — like advice from a friend who travels nonstop ...",2026-01-20 03:15:11.438236
/watch?v=rbNZbC2IqLs&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@IslandHopperTV,Island Hopper TV,Vietnam Travel Guide: Best Things To Do in Vietnam 2026 4K,63K,2 months,In this Vietnam travel guide we assist you in planning your vacation to Vietnam In this best places in Vietnam travel video we show ...,2026-01-20 03:15:11.439961
/watch?v=Rfi5wUhd5C4&pp=ygUOdmlldG5hbSB0cmF2ZWzSBwkJTwoBhyohjO8%3D,/@8ktoptravel,8K Top Travel,Wonders of Vietnam - The Most Amazing Places in Vietnam - Travel Video 4K,101K,7 months,"WONDER OF VIETNAM | A beautiful, warm and hospitable Vietnam is waiting for you | 8K TRAVEL VIDEO Vietnam, to me, is a ...",2026-01-20 03:15:11.443762
/watch?v=JJPEtD6wW4I&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@AmandaFelixEats,Amanda & Felix Eats,12 Vietnam Travel Tips & Scams to Avoid || MUST Know Before Visiting!,26K,8 months,Xin chào and ALOHA   Planning a trip to Vietnam    ? Don't fall into common tourist traps! We share with you 12 essential ...,2026-01-20 03:15:11.445414
/watch?v=BX-2tZhS3Ww&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@JordanandEmily,Jordan and Emily,🇻🇳ULTIMATE VIETNAM TRAVEL GUIDE (the only one you need!),176K,1 year,"VIETNAM TRAVEL GUIDE (everything to know before you go!) *want to watch EVERY DAY we spent in Vietnam, and have a ...",2026-01-20 03:15:11.447169
/watch?v=Fb_9biTC0i4&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@DaneAndStacey,Dane and Stacey,Don’t Visit VIETNAM… Before Watching This! (Expenses & Travel Tips),155K,1 year,Don't travel Vietnam before watching this! 30 vital tips and travel advice for any travels to Vietnam to guide you on the perfect ...,2026-01-20 03:15:11.451116
/watch?v=wO5hfqSUocE&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@touropia,touropia,12 Best Places to Visit in Vietnam - Travel Video,2.3M,2 years,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-vietnam/ A long, narrow country ...",2026-01-20 03:15:11.452492
/watch?v=6496pZT94_k&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@LisaAndJosh,Lisa and Josh,13 Days in Vietnam on a Budget,2.2M,1 year,"Honestly, this video wasn't even supposed to exist. We came here with the intention of making a 3 days in Hanoi and Saigon, ...",2026-01-20 03:15:11.454097
/watch?v=vOkkWuEwUmc&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@laistahir,Lais,10 Days in Vietnam 2026 - A Travel Documentary,1.4M,1 year,"vietnam #vietnamtravel #travel Discover Vietnam in this ultimate 10-day travel documentary, perfect for first-time visitors! Explore ...",2026-01-20 03:15:11.455710
/watch?v=5UPkcm17V10&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@DaneAndStacey,Dane and Stacey,Vietnam Travel Costs! Ho Chi Minh City Food & Attractions,112K,1 year,"Spend the next 24 hours in Ho Chi Minh City with us - top things to do, main attractions, food and prices - why does Saigon get ...",2026-01-20 03:15:11.459012
/watch?v=nBdrgGJsCJo&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@JoyousTravelYT,Joyous Travel,Amazing Places to visit in Vietnam - Travel Video,2.2M,4 years,"The uniqueness of Vietnam is linked to its relationship with water, perfectly represented by the legendary Mekong river and more ...",2026-01-20 03:15:11.460676
/watch?v=8r30XUrrAac&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@TraceTheGlobe,Trace The Globe,This Is the Real Vietnam Most People Never See | 4K Travel Documentary,86K,6 days,"Vietnam is not what most people expect. In this 4K travel documentary, we go beyond stereotypes to reveal the real Vietnam — a ...",2026-01-20 03:15:11.462064
/watch?v=5-11LTcrLMA&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@theNicoleRyan,Nicole & Ryan,ULTIMATE 2-WEEK VIETNAM TRAVEL GUIDE (South to North),163K,2 years,Get ready for your perfect 2-week travel guide through Vietnam. We've traveled through Vietnam for 3 months to develop your ...,2026-01-20 03:15:11.463714
/watch?v=1vONUVO_fQQ&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@8KEarthWonders-z5d,8K Earth Wonders,Wonders of Vietnam - Discover Vietnam’s Most Stunning Landscapes - Travel Video 4K,1.2M,10 months,Wonders of Vietnam - Discover Vietnam's Most Stunning Landscapes - Travel Video 4K Vietnam is a captivating destination in ...,2026-01-20 03:15:11.466968
/watch?v=qcbNp0giYPE&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@FloraandNote,Flora and Note,"🇻🇳 14 DAYS EXPLORING VIETNAM: Hanoi, Ninh Binh, Nha Trang, Da Lat (Full Documentary)",137K,9 months,Join us on an incredible 14-days exploring Vietnam! From eating our way through 5-star recommendations in the vibrant streets of ...,2026-01-20 03:15:11.468708
/watch?v=hd73bwOvsoI&pp=ygUOdmlldG5hbSB0cmF2ZWzSBwkJTwoBhyohjO8%3D,/@RhettandClaire,Rhett and Claire,VIETNAM travel guide | EVERYTHING to know before you go😁🇻🇳,380K,2 years,"Today we're sharing EVERYTHING you need to know before traveling to Vietnam from how to get there, transport, daily budgets, ...",2026-01-20 03:15:11.470478
/watch?v=T4IcTq9YQ8Y&pp=ygUOdmlldG5hbSB0cmF2ZWzSBwkJTwoBhyohjO8%3D,/@WanderlustWellman,Wanderlust Wellman,"The ULTIMATE Da Nang, Vietnam Travel Guide - Things to Do, Where to Stay, & More!",44K,3 months,"This is how to travel Da Nang, Vietnam! In my travel guide I cover where to stay, things to do, day trips, where to eat, and even ...",2026-01-20 03:15:11.471692
/watch?v=MgmxV1NqqEs&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@laistahir,Lais,4 Days in Ho Chi Minh City (Saigon) Vietnam 2026,80K,1 month,vietnam #saigon #hochiminhcity #travel Get an exclusive 15% discount on Saily data plans! Use code LAIS at checkout.,2026-01-20 03:15:19.998077
/watch?v=KYCggx5kfnM&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@TravisTravelsVN,Travis Travels Vietnam,TRAVEL LIKE A PRO! Essential Tips for VIETNAM in 2026,125K,2 years,Traveling to Vietnam? Join my travel group here for FREE⬇️ https://www.skool.com/travel-vietnam-6703 ✓Local ...,2026-01-20 03:15:20.002557
/watch?v=wk4lP5t-Sw0&t=42s&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@EpicExplorationsTVEN,EpicExplorationsTV EN,Wonders of Vietnam | Where Time Flows Differently | Most Amazing Places in Vietnam | 4K,1.8M,1 year,In this Vietnam tour you'll see: - Top 23 places to visit in Vietnam - Complete guide to Vietnam attractions - Vietnam travel tips ...,2026-01-20 03:15:20.004427
/watch?v=onsyyhfp_CM&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@JanandAnn,Jan and Ann,First Time in VIETNAM: What Surprised Us the Most! 🇻🇳,301K,1 year,Xin chào from Vietnam! We're thrilled to be exploring this vibrant country for the very first time. From its lively streets to its rich ...,2026-01-20 03:15:20.006695
/watch?v=EuAr4w2uQWU&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@HunaTravel,HuNa Travel,Unseen Wonder Of VietNam | Hidden Places You Won't Believe Exist! | Travel Video 4K,118K,8 months,UNSEEN WONDERS OF VIETNAM | Hidden Places You Won't Believe Exist! | Travel Video 4K Discover the Hidden Side of ...,2026-01-20 03:15:20.007922
/watch?v=07l8I29wxjg&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@TravelEscapesVlogs,Travel Escapes,1st Time in Hanoi Vietnam 🇻🇳 the Good and the Bad,163K,1 month,"First Time in Hanoi Vietnam The Good and The Bad In this video I visit Hanoi, Vietnam for the first time. I eat Bun Cha, ...",2026-01-20 03:15:20.010550
/watch?v=YDrWu85yTDA&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@brettconti,Brett Conti,"What Can $1,000 Get in VIETNAM (World's Cheapest Country)",3.8M,2 years,This is what $1000 can get in Vietnam I organized all of the stays here https://expedia.com/shop/brettconti/vietnam/share Skip the ...,2026-01-20 03:15:20.012898
/watch?v=iBSmfAEOFfU&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@realcoolvision,CoolVision,Vietnam — 14 Days From Saigon to Hanoi,653K,6 months,"Lets explore Vietnam. From the bustling streets of Hanoi and Saigon, we'll visit Vietnam's must-visit destinations, including Ha ...",2026-01-20 03:15:20.014448
/watch?v=unh9C2KGbww&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@AngelicaandAileenWanders,Angelica & Aileen Wanders,Sapa Vietnam 2025 Travel Guide: Places to Visit & Things to Do • Itinerary & Expenses • Budget Vlog,476K,11 months,"Beautiful homestays for $13 per night, fun activities for $8, and delicious food for only $2. We're now here to give you the best and ...",2026-01-20 03:15:20.016148
/watch?v=Ugv4y1tiFSc&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@celinabhandari,Celina B,I Solo Traveled Vietnam… Here’s What Happened | Cinematic Travel Vlog,54K,9 months,"I solo traveled to Vietnam, visiting Ha Long Bay, the Ha Giang Loop, Ninh Binh and more. Here's what I captured and what was on ...",2026-01-20 03:15:20.019954
/watch?v=iqw5cXej9Ic&pp=ygUOdmlldG5hbSB0cmF2ZWzSBwkJTwoBhyohjO8%3D,/@ThePassportCouple,The Passport Couple,10 Days in Vietnam on a Budget,97K,5 months,Unlock your language adventure & learn key phrases fast with Rosetta Stone to travel with confidence!,2026-01-20 03:15:20.021176
/watch?v=EvJttR8bFf4&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@TravelEscapesVlogs,Travel Escapes,Is Vietnam Still the Cheapest Country in the World? 🇻🇳 (Da Nang),425K,4 months,Is Vietnam Still the Cheapest Country in the World? Vietnam is often considered the most affordable country in the world ...,2026-01-20 03:15:20.023110
/watch?v=pm6-ebk0tC0&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@IslandHopperTV,Island Hopper TV,Vietnam Travel Guide: Everything You Need To Know Visiting Vietnam 4K,42K,2 years,"VIETNAM: This is a things to know about visiting Vietnam travel guide. The main places to visit in Vietnam are Ho Chi Minh City, ...",2026-01-20 03:15:20.026882
/watch?v=bRCTrt_X4hY&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@JaychelAdventure,Jaychel,Why Traveling to Vietnam Is WORTH IT - 7 Day Northern Vietnam Travel Guide & Tips 2023,1.8M,2 years,Join us as we escape the stress of city life and explore the breathtaking nature of Northern Vietnam during a week-long vacation.,2026-01-20 03:15:20.028600
/watch?v=C25YkaUB7oo&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@MyVietnamDiary,Trinh Nguyen,17 Things You Need to Know Before Traveling to Vietnam *Hacks & Tips*,96K,2 years,17 Tips you should know before traveling to Vietnam. These travel guidelines and hacks will help you make the most of your trip.,2026-01-20 03:15:20.030460
/watch?v=somqBOBpixI&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@tripinsight.travel,Trip Insight,Wonders of VietNam | The Most Amazing Places in VietNam | Travel Video 4K,759K,1 year,"Wonders of VietNam | The Most Amazing Places in VietNam | Travel Video 4K Subscribe to the channel here, it's free but means a ...",2026-01-20 03:15:20.032275
/watch?v=XF9mEEAlkaw&pp=ygUOdmlldG5hbSB0cmF2ZWw%3D,/@PaddyDoyle.,Paddy Doyle,VIETNAM 🇻🇳 an EPIC MOTORBIKE TOUR | Travel Documentary | North to South,125K,1 year,In this feature-length travel documentary I will embark on an adventure of a lifetime here in Vietnam ! Get your Sim Local eSIM ...,2026-01-20 03:15:20.036186
